[2022-12-13 11:22:15] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-13 11:22:15] [INFO   ] configuration file was loaded from resources directory.
[2022-12-13 11:22:54] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:22:54] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:22:54] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:22:55] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:22:55] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:22:55] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:22:56] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:22:56] [SEVERE ] removing player 1 token from slot 2
[2022-12-13 11:22:59] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:22:59] [SEVERE ] player 1 placing token on slot 2
[2022-12-13 11:23:00] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:23:00] [SEVERE ] removing player 1 token from slot 2
[2022-12-13 11:23:00] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:23:00] [SEVERE ] player 1 placing token on slot 2
[2022-12-13 11:23:00] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:23:00] [SEVERE ] removing player 1 token from slot 2
[2022-12-13 11:23:01] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:01] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:23:01] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:01] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:23:03] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:03] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:23:03] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:23:03] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:23:03] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:03] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:23:04] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:04] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:23:05] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:05] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:23:05] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:05] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:23:05] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:23:05] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:23:06] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:06] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:23:07] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:23:07] [SEVERE ] removing player 1 token from slot 3
[2022-12-13 11:23:08] [SEVERE ] Key 80 was pressed by player 1
